client_id,nom,prenom,age,ville,population_ville,revenu_annuel,type_compte,solde,statut
82,Girard,Luc,20.0,Marseille,870000,93722,Courant,71542.76,Inactif
83,Fournier,Julie,68.0,Perpignan,120000,75282,Courant,109174.59,Actif
84,Roux,Lucas,66.0,Orléans,115000,109954,Courant,49597.73,Inactif
85,Lefevre,Lucas,40.0,Nantes,320000,77018,Courant,22775.87,Actif
86,Bertrand,Luc,72.0,Nice,340000,91969,Epargne,56729.5,Actif
87,Richard,Nathan,77.0,Angers,150000,102679,Courant,16692.57,Inactif
88,Richard,Nathan,34.0,Saint-Étienne,170000,40968,Epargne,111226.03,Actif
89,Michel,Pierre,60.0,Nantes,320000,116290,Courant,86893.3,Inactif
90,Simon,Chloe,25.0,Limoges,130000,76480,Courant,31048.47,Inactif
91,Michel,Emma,31.0,Strasbourg,290000,135546,Courant,41289.02,Actif
92,Morel,Pierre,31.0,Saint-Étienne,170000,72014,Courant,75426.24,Inactif
93,Laurent,Sophie,54.0,Lyon,520000,73823,Premium,18353.88,Actif
94,Simon,Manon,65.0,Marseille,870000,47181,Premium,79135.75,Actif
95,Simon,Nathan,58.0,Strasbourg,290000,145883,Epargne,71127.82,Actif
96,Petit,Jean,59.0,Nîmes,150000,126155,Epargne,39984.76,Inactif
97,David,Luc,47.0,Nice,340000,61430,Courant,21637.34,Actif
98,Durand,Marie,24.0,Saint-Étienne,170000,33382,Epargne,88278.19,Inactif
99,Girard,Marie,77.0,Tours,135000,73350,Epargne,39437.6,Actif
100,Robert,Luc,75.0,Mulhouse,108000,26150,Premium,114596.96,Actif
101,Robert,Chloe,,Mulhouse,108000,57462,Courant,36490.14,Actif
102,Richard,Nathan,33.0,Metz,120000,109806,Premium,72498.63,Actif
103,Martin,Sophie,31.0,Amiens,135000,111021,Premium,111100.29,Actif
104,Durand,Manon,37.0,Toulon,175000,115807,Premium,86065.67,Actif
105,Michel,Louis,40.0,Amiens,135000,90962,Premium,101515.44,Actif
106,Morel,Jean,78.0,Reims,180000,80896,Epargne,2573.74,Inactif
107,Roux,Sophie,34.0,Nice,340000,140803,Courant,49198.85,Inactif
108,Moreau,Manon,41.0,Limoges,130000,18159,Epargne,117998.27,Inactif
109,Lefevre,Lucas,45.0,Amiens,135000,52168,Courant,98856.41,Actif
110,Petit,Marie,76.0,Nice,340000,135178,Courant,32527.07,Actif
111,Roux,Nathan,44.0,Orléans,115000,120365,Courant,60580.16,Actif
112,Morel,Ines,69.0,Perpignan,120000,129740,Courant,30237.0,Actif
113,Petit,Tom,36.0,Toulon,175000,133540,Courant,37293.85,Inactif
114,Morel,Lina,67.0,Montpellier,300000,112069,Epargne,69168.43,Actif
115,Morel,Tom,35.0,Caen,110000,87302,Epargne,64621.22,Actif
116,Fournier,Pierre,44.0,Amiens,135000,45189,Premium,41236.92,Inactif
117,Laurent,Emma,24.0,Lyon,520000,101331,Courant,110478.91,Actif
118,Girard,Julie,39.0,Nîmes,150000,113789,Courant,21267.11,Actif
119,Girard,Emma,31.0,Le Havre,165000,100127,Premium,75030.6,Actif
120,Durand,Lucas,25.0,Tours,135000,137753,Epargne,7162.44,Inactif
121,Moreau,Lucas,28.0,Strasbourg,290000,91567,Courant,81037.41,Inactif
122,Girard,Lucas,60.0,Clermont-Ferrand,145000,117513,Epargne,40503.9,Inactif
123,Fournier,Camille,64.0,Rennes,225000,148009,Epargne,4409.85,Inactif
124,SIMON,Manon,45.0,Perpignan,120000,47896,Premium,20145.62,Actif
125,Morel,Hugo,70.0,Grenoble,160000,97296,Premium,107233.17,Inactif
126,SIMON,Julie,54.0,Lille,235000,115775,Courant,113851.46,Actif
127,Roux,Camille,77.0,Angers,150000,98914,Epargne,34180.43,Actif
128,Bernard,Luc,59.0,Grenoble,160000,126250,Courant,67971.46,Actif
129,Martin,Marie,47.0,Montpellier,300000,148468,Epargne,18042.24,Actif
130,Moreau,Sarah,41.0,Rennes,225000,40679,Epargne,60863.8,Inactif
131,Robert,Emma,37.0,Nantes,320000,29724,Premium,112946.04,Inactif
132,Leroy,Tom,60.0,Toulouse,490000,43392,Epargne,110274.16,Inactif
133,Dupont,Pierre,34.0,Clermont-Ferrand,145000,98599,Premium,751.07,Actif
134,Dupont,Paul,62.0,Saint-Étienne,170000,32147,Courant,26485.55,Inactif
135,Lefevre,Manon,21.0,Marseille,870000,108936,Courant,25050.7,Actif
136,Durand,Sarah,77.0,Nîmes,150000,131099,Premium,49391.52,Actif
137,Bertrand,Sophie,29.0,Mulhouse,108000,53736,Epargne,21747.86,Actif
138,Dupont,Luc,57.0,Tours,135000,84792,Courant,77009.09,Inactif
139,Roux,Sophie,43.0,Toulouse,490000,34376,Courant,50853.41,Inactif
140,Lefevre,Louis,45.0,Le Havre,165000,114199,Courant,81148.41,Actif
141,Robert,Emma,25.0,Perpignan,120000,55968,Epargne,105602.13,Actif
142,Simon,Nathan,57.0,Reims,180000,19413,Courant,11240.1,Inactif
143,Petit,Julie,36.0,Grenoble,160000,71877,Courant,106478.27,Actif
144,Michel,Sarah,58.0,Nantes,320000,108173,Epargne,99488.93,Inactif
145,Robert,Sarah,57.0,Montpellier,300000,125454,Courant,13512.14,Actif
146,Simon,Pierre,35.0,Reims,180000,127535,Premium,56681.35,Inactif
147,Fournier,Lucas,18.0,Strasbourg,290000,53961,Premium,65696.38,Actif
148,Girard,Pierre,65.0,Tours,135000,108076,Epargne,90282.16,Actif
149,David,Luc,80.0,Angers,150000,44835,Courant,13211.99,Actif
150,Fournier,Nathan,41.0,Rennes,225000,132902,Premium,44909.55,Inactif
151,David,Luc,42.0,Toulon,175000,56654,Epargne,108397.82,Actif
152,Martin,Adam,64.0,Paris,2148000,57644,Courant,12081.65,Actif
153,Richard,Hugo,43.0,Montpellier,300000,122619,Courant,56012.36,Inactif
154,Bernard,Manon,44.0,Limoges,130000,100828,Epargne,103209.66,Inactif
155,Martin,Ines,31.0,Metz,120000,48587,Courant,95699.64,Inactif
156,Robert,Manon,44.0,Clermont-Ferrand,145000,137777,Premium,24862.23,Actif
157,Michel,Hugo,74.0,Grenoble,160000,146329,Courant,6794.61,Actif
158,Moreau,Sarah,34.0,Caen,110000,86130,Epargne,16226.14,Inactif
159,Petit,Hugo,66.0,Grenoble,160000,110521,Premium,69916.91,Actif
160,Fournier,Adam,24.0,Paris,2148000,112195,Courant,74485.21,Inactif
161,Leroy,Marie,40.0,Rennes,225000,58221,Epargne,96455.01,Actif
162,Robert,Lucas,33.0,Bordeaux,260000,147526,Premium,33683.54,Actif
163,David,Hugo,34.0,Amiens,135000,66236,Premium,1588.81,Inactif
164,Bertrand,Adam,43.0,Metz,120000,58842,Premium,48872.52,Inactif
165,Laurent,Adam,53.0,Amiens,135000,146633,Epargne,86282.71,Actif
166,DURAND,Lucas,50.0,Nice,340000,127234,Premium,56779.16,Actif
167,Morel,Marie,63.0,Le Havre,165000,149975,Courant,68151.72,Inactif
168,Fournier,Marie,51.0,Strasbourg,290000,130646,Epargne,32911.84,Inactif
169,Lefevre,Louis,66.0,Metz,120000,56582,Epargne,63449.09,Inactif
170,Bertrand,Emma,48.0,Tours,135000,129244,Premium,10300.22,Actif
171,Lefevre,Luc,30.0,Lyon,520000,81997,Courant,40537.14,Inactif
172,Bernard,Jean,36.0,Le Havre,165000,48127,Courant,25960.14,Inactif
173,Roux,Hugo,65.0,Saint-Étienne,170000,73010,Courant,63137.58,Inactif
174,Dupont,Julie,35.0,Toulon,175000,90411,Courant,115677.31,Inactif
175,Robert,Lucas,58.0,Paris,2148000,106868,Premium,103864.83,Actif
176,Durand,Pierre,71.0,Caen,110000,72748,Premium,112318.41,Actif
177,Laurent,Emma,74.0,Perpignan,120000,22589,Premium,82238.13,Inactif
178,Michel,Camille,39.0,Le Havre,165000,50886,Courant,69731.74,Actif
179,Fournier,Lina,22.0,Toulon,175000,114413,Epargne,115899.21,Actif
180,Lefevre,Chloe,68.0,Nantes,320000,121382,Epargne,51796.66,Actif
181,Morel,Pierre,43.0,Metz,120000,113533,Epargne,103976.24,Actif
182,Bertrand,Pierre,43.0,Tours,135000,48917,Courant,41481.05,Actif
183,Simon,Lina,71.0,Toulon,175000,26180,Premium,82175.57,Actif
184,Richard,Camille,18.0,Dijon,155000,124869,Premium,94011.11,Actif
185,David,Lina,18.0,Le Havre,165000,114055,Epargne,100463.68,Inactif
186,Simon,Paul,75.0,Dijon,155000,88985,Premium,88236.78,Inactif
187,Roux,Pierre,29.0,Bordeaux,260000,54588,Epargne,78983.63,Actif
188,Petit,Tom,22.0,Caen,110000,58379,Premium,54377.82,Actif
189,Dupont,Adam,43.0,Amiens,135000,59601,Epargne,99060.96,Inactif
190,Bernard,Sophie,73.0,Grenoble,160000,136382,Premium,104010.45,Inactif
191,Dubois,Adam,65.0,Lyon,520000,134297,Courant,86601.31,Actif
192,Leroy,Marie,25.0,Lille,235000,32617,Premium,21298.81,Actif
193,David,Marie,44.0,Metz,120000,120994,Courant,91100.55,Inactif
194,Bertrand,Camille,55.0,Villeurbanne,160000,97873,Premium,52233.2,Inactif
195,Dubois,Sarah,71.0,Bordeaux,260000,103438,Premium,87305.79,Inactif
196,Robert,Paul,75.0,Tours,135000,84967,Epargne,21272.88,Inactif
197,Lefevre,Tom,25.0,Nîmes,150000,142445,Premium,14090.79,Actif
198,Simon,Manon,72.0,Nice,340000,147072,Epargne,70402.37,Actif
199,Dupont,Camille,30.0,Clermont-Ferrand,145000,101753,Epargne,119054.06,Actif
200,Robert,Ines,21.0,Orléans,115000,30735,Premium,29099.07,Actif
201,Simon,Lina,30.0,Nîmes,150000,45493,Epargne,26492.8,Inactif
202,Dupont,Louis,50.0,Caen,110000,126266,Epargne,67927.36,Actif
203,Dubois,Emma,71.0,Lyon,520000,119394,Courant,14041.26,Inactif
204,Durand,Adam,23.0,Rennes,225000,76028,Epargne,112371.56,Actif
205,Fournier,Emma,19.0,Bordeaux,260000,59674,Epargne,62701.78,Inactif
206,Simon,Nathan,33.0,Lyon,520000,78855,Epargne,67379.36,Inactif
207,Dubois,Tom,68.0,Lyon,520000,42595,Epargne,11087.9,Actif
208,Simon,Marie,29.0,Strasbourg,290000,136776,Epargne,16927.96,Inactif
209,Robert,Marie,76.0,Rennes,225000,28322,Courant,107121.85,Actif
210,Dubois,Louis,72.0,Lyon,520000,42064,Epargne,90225.2,Inactif
211,David,Adam,63.0,Clermont-Ferrand,145000,20772,Courant,88809.57,Inactif
212,Bertrand,Ines,23.0,Saint-Étienne,170000,114968,Premium,28024.39,Inactif
213,Dubois,Emma,74.0,Saint-Étienne,170000,90255,Epargne,7953.13,Actif
214,Bernard,Luc,20.0,Villeurbanne,160000,86689,Epargne,23473.23,Inactif
215,Simon,Marie,54.0,Toulouse,490000,55137,Premium,2861.65,Actif
216,Laurent,Manon,49.0,Le Havre,165000,129265,Epargne,4701.42,Actif
217,Leroy,Chloe,79.0,Brest,140000,100249,Premium,77162.72,Actif
218,Richard,Julie,41.0,Mulhouse,108000,37328,Courant,104759.67,Inactif
219,Richard,Julie,71.0,Dijon,155000,116899,Courant,1276.03,Actif
220,Robert,Jean,22.0,Brest,140000,68486,Courant,33230.61,Actif
221,Robert,Adam,60.0,Saint-Étienne,170000,28971,Courant,65762.2,Inactif
222,Leroy,Lucas,62.0,Dijon,155000,32414,Premium,104177.09,Inactif
223,Dupont,Paul,40.0,Amiens,135000,94591,Courant,107911.15,Actif
224,Richard,Sarah,,Limoges,130000,37025,Courant,61396.37,Actif
225,Michel,Tom,26.0,Perpignan,120000,36158,Courant,46819.01,Actif
226,David,Louis,77.0,Limoges,130000,81035,Premium,99245.38,Inactif
227,Bertrand,Pierre,64.0,Angers,150000,49819,Premium,114832.83,Actif
228,Roux,Luc,50.0,Le Havre,165000,47813,Premium,16275.24,Inactif
229,Girard,Paul,56.0,Nantes,320000,98831,Premium,73190.97,Actif
230,Michel,Adam,31.0,Montpellier,300000,61781,Epargne,2611.82,Inactif
231,Dupont,Nathan,42.0,Brest,140000,89216,Courant,72557.66,Inactif
232,Durand,Camille,48.0,Nice,340000,127907,Courant,40064.9,Inactif
233,Laurent,Jean,26.0,Lille,235000,82531,Premium,5730.46,Actif
234,Michel,Paul,39.0,Grenoble,160000,96680,Epargne,101602.6,Inactif
235,Simon,Ines,31.0,Rennes,225000,45806,Premium,117814.91,Actif
236,Morel,Nathan,75.0,Brest,140000,134348,Epargne,46242.45,Inactif
237,Richard,Lina,33.0,Dijon,155000,116943,Premium,49929.56,Inactif
238,Moreau,Chloe,71.0,Grenoble,160000,124648,Premium,7118.38,Inactif
239,Morel,Lucas,64.0,Caen,110000,138441,Courant,118040.46,Inactif
240,Simon,Sophie,49.0,Toulouse,490000,147407,Epargne,52254.2,Actif
241,Fournier,Paul,22.0,Nîmes,150000,94119,Courant,9898.72,Actif
242,David,Lucas,53.0,Rennes,225000,25450,Epargne,39363.04,Inactif
243,Richard,Manon,41.0,Clermont-Ferrand,145000,55213,Premium,77228.76,Inactif
244,Morel,Jean,78.0,Nîmes,150000,49323,Courant,6630.74,Actif
245,David,Marie,67.0,Clermont-Ferrand,145000,106778,Courant,86080.83,Inactif
246,Laurent,Tom,49.0,Villeurbanne,160000,104472,Premium,4803.95,Actif
247,Michel,Tom,61.0,Villeurbanne,160000,53279,Courant,110026.54,Actif
248,Petit,Julie,78.0,Grenoble,160000,102758,Epargne,66637.62,Inactif
249,Robert,Sophie,73.0,Angers,150000,23051,Premium,8957.2,Actif
250,Richard,Sophie,51.0,Dijon,155000,123279,Premium,97488.23,Inactif
251,David,Ines,63.0,Rennes,225000,110305,Courant,32237.81,Actif
252,Dubois,Paul,79.0,Marseille,870000,95389,Courant,7484.93,Actif
253,Michel,Sophie,61.0,Metz,120000,128643,Epargne,3519.79,Inactif
254,Durand,Tom,70.0,Rennes,225000,145734,Epargne,44127.16,Actif
255,Dubois,Paul,20.0,Toulon,175000,43347,Epargne,28958.13,Actif
256,Girard,Nathan,77.0,Nice,340000,103186,Courant,70423.5,Inactif
257,Michel,Adam,42.0,Bordeaux,260000,94378,Premium,70224.09,Actif
258,Lefevre,Camille,33.0,Nice,340000,87213,Premium,42662.06,Actif
259,Petit,Louis,63.0,Metz,120000,105915,Courant,60819.47,Actif
260,Petit,Marie,78.0,Grenoble,160000,66167,Epargne,83501.7,Actif
261,Durand,Sophie,74.0,Le Havre,165000,50573,Epargne,57118.83,Inactif
262,Roux,Marie,80.0,Rennes,225000,39818,Epargne,91189.15,Actif
263,Michel,Louis,54.0,Toulon,175000,106679,Courant,116072.61,Actif
264,Bertrand,Nathan,42.0,Caen,110000,95706,Epargne,40778.5,Actif
265,Fournier,Luc,52.0,Amiens,135000,115289,Epargne,95717.56,Inactif
266,Leroy,Lina,,Grenoble,160000,109522,Premium,32011.13,Inactif
267,Robert,Sophie,18.0,Marseille,870000,75576,Courant,96635.79,Inactif
268,Robert,Tom,46.0,Orléans,115000,123758,Epargne,54700.72,Inactif
269,Petit,Emma,55.0,Mulhouse,108000,59212,Epargne,114151.54,Inactif
270,Martin,Camille,62.0,Clermont-Ferrand,145000,69536,Premium,65180.79,Actif
271,Simon,Pierre,25.0,Nice,340000,32272,Epargne,32028.34,Actif
272,Fournier,Lucas,74.0,Toulouse,490000,139672,Premium,119350.2,Inactif
273,Durand,Chloe,48.0,Nîmes,150000,61916,Epargne,69229.06,Actif
274,Leroy,Hugo,58.0,Limoges,130000,21312,Premium,12308.3,Actif
275,Girard,Chloe,39.0,Tours,135000,134433,Premium,115604.7,Actif
276,Dubois,Louis,58.0,Bordeaux,260000,134044,Premium,116033.53,Inactif
277,Michel,Chloe,25.0,Perpignan,120000,70415,Premium,10021.73,Actif
278,Bernard,Hugo,21.0,Grenoble,160000,30150,Premium,50418.71,Actif
279,Moreau,Julie,77.0,Nîmes,150000,104392,Epargne,39750.1,Actif
280,Fournier,Chloe,61.0,Caen,110000,148516,Courant,52505.8,Actif
281,David,Julie,34.0,Caen,110000,140989,Courant,16626.41,Actif
282,Roux,Tom,60.0,Bordeaux,260000,88690,Premium,78642.96,Actif
283,Robert,Tom,69.0,Toulouse,490000,134980,Premium,23857.45,Inactif
284,Simon,Lucas,64.0,Marseille,870000,144811,Courant,116797.17,Inactif
285,David,Adam,29.0,Clermont-Ferrand,145000,27205,Premium,80226.68,Actif
286,Moreau,Julie,,Grenoble,160000,110434,Epargne,27007.59,Inactif
287,Richard,Lina,75.0,Metz,120000,33811,Premium,38663.38,Inactif
288,Girard,Pierre,74.0,Strasbourg,290000,113763,Courant,113905.97,Actif
289,Robert,Lucas,39.0,Tours,135000,18872,Courant,34714.93,Actif
290,Morel,Louis,77.0,Clermont-Ferrand,145000,136742,Epargne,73424.78,Inactif
291,RICHARD,Sarah,43.0,Orléans,115000,74367,Courant,118074.59,Actif
292,Robert,Nathan,36.0,Bordeaux,260000,75424,Premium,47669.88,Inactif
293,Morel,Sarah,30.0,Bordeaux,260000,21528,Courant,99876.63,Actif
294,Michel,Camille,36.0,Nice,340000,135399,Premium,101116.79,Inactif
295,Richard,Chloe,23.0,Villeurbanne,160000,123072,Courant,76934.77,Inactif
296,Dupont,Chloe,45.0,Clermont-Ferrand,145000,130082,Epargne,95874.63,Actif
297,Dupont,Nathan,48.0,Clermont-Ferrand,145000,138250,Courant,10317.65,Inactif
298,Simon,Lina,54.0,Caen,110000,44455,Epargne,27994.04,Inactif
299,Laurent,Nathan,75.0,Limoges,130000,49235,Premium,83271.02,Inactif
300,Bertrand,Tom,55.0,Rennes,225000,138541,Courant,23529.24,Actif
301,Roux,Pierre,39.0,Mulhouse,108000,71860,Premium,116534.83,Actif
302,Morel,Paul,25.0,Toulouse,490000,106350,Courant,56502.49,Actif
303,Roux,Ines,67.0,Grenoble,160000,57975,Epargne,104510.77,Inactif
304,Roux,Camille,18.0,Tours,135000,113192,Epargne,104359.21,Actif
305,Roux,Luc,80.0,Nice,340000,33906,Epargne,108923.29,Inactif
306,Michel,Marie,66.0,Angers,150000,115544,Courant,113752.55,Actif
307,Simon,Camille,37.0,Caen,110000,49475,Premium,105797.62,Inactif
308,Fournier,Luc,48.0,Bordeaux,260000,98966,Epargne,80760.53,Inactif
309,Michel,Tom,59.0,Nîmes,150000,42914,Epargne,97357.27,Inactif
310,Richard,Marie,36.0,Perpignan,120000,107402,Courant,82756.41,Inactif
311,Dubois,Camille,66.0,Dijon,155000,131041,Premium,84522.48,Inactif
312,Petit,Camille,80.0,Limoges,130000,139411,Premium,96493.89,Inactif
313,Robert,Luc,25.0,Caen,110000,55137,Premium,69358.78,Actif
314,Moreau,Julie,32.0,Montpellier,300000,62400,Epargne,17832.19,Actif
315,Michel,Tom,29.0,Grenoble,160000,113157,Premium,19897.72,Inactif
316,Fournier,Ines,24.0,Reims,180000,44002,Courant,52620.22,Inactif
317,David,Lucas,57.0,Tours,135000,50041,Premium,64371.24,Inactif
318,Dupont,Emma,79.0,Brest,140000,30500,Epargne,116832.65,Inactif
319,Simon,Emma,57.0,Dijon,155000,92614,Premium,39454.09,Inactif
320,Lefevre,Louis,38.0,Limoges,130000,42928,Courant,13734.52,Actif
321,Fournier,Sarah,79.0,Tours,135000,38491,Epargne,70287.53,Inactif
322,Martin,Sophie,67.0,Marseille,870000,107600,Epargne,22505.78,Actif
323,Leroy,Hugo,40.0,Le Havre,165000,90981,Courant,113837.82,Actif
324,Lefevre,Adam,57.0,Toulon,175000,44432,Premium,111013.34,Inactif
325,Simon,Lina,63.0,Lille,235000,142163,Courant,24660.16,Inactif
326,Durand,Sarah,51.0,Lille,235000,105329,Epargne,56079.98,Actif
327,Simon,Nathan,30.0,Nantes,320000,33772,Epargne,93350.54,Actif
328,Martin,Lucas,68.0,Toulon,175000,67616,Epargne,95220.96,Inactif
329,Girard,Emma,73.0,Perpignan,120000,132147,Premium,8541.37,Actif
330,Fournier,Chloe,44.0,Amiens,135000,138732,Courant,69251.82,Inactif
331,Girard,Marie,41.0,Villeurbanne,160000,40471,Epargne,105411.71,Inactif
332,Morel,Camille,39.0,Mulhouse,108000,108065,Premium,118150.43,Actif
333,Michel,Hugo,76.0,Paris,2148000,92767,Courant,63696.88,Inactif
334,Durand,Adam,58.0,Tours,135000,137832,Courant,9410.81,Inactif
335,Girard,Louis,49.0,Mulhouse,108000,86773,Courant,8663.22,Inactif
336,Leroy,Jean,25.0,Nîmes,150000,133812,Courant,57297.41,Inactif
337,Leroy,Lina,57.0,Reims,180000,129837,Epargne,1879.26,Actif
338,Simon,Paul,56.0,Nîmes,150000,35714,Courant,60239.08,Actif
339,DUBOIS,Pierre,48.0,Nantes,320000,86358,Epargne,64961.84,Inactif
340,Lefevre,Adam,61.0,Clermont-Ferrand,145000,99342,Epargne,4875.39,Actif
341,Simon,Paul,20.0,Nice,340000,100085,Courant,96948.55,Actif
342,Bertrand,Adam,70.0,Brest,140000,134540,Courant,79536.97,Inactif
343,Lefevre,Jean,31.0,Marseille,870000,53193,Epargne,42584.85,Actif
344,Richard,Manon,23.0,Reims,180000,44563,Courant,56625.4,Actif
345,Bertrand,Paul,69.0,Amiens,135000,134467,Premium,56744.01,Inactif
346,Bertrand,Marie,76.0,Marseille,870000,107231,Epargne,17024.18,Actif
347,Leroy,Adam,41.0,Mulhouse,108000,116514,Premium,38766.81,Actif
